subject_age,subject_education,subject_sex,subject_ethnicity,subject_income_category,subject_employment_status,same_sex_couple,married,sex_frequency,flirts_with_partner,fights_with_partner,relationship_duration,children,rel_change_during_pandemic,inc_change_during_pandemic,subject_had_covid,partner_had_covid,subject_vaccinated,partner_vaccinated,agree_covid_approach,relationship_quality
58.0,some_college,female,other,85k_100k,not_working_other,no,married,2_to_3_times_a_month,never,0_times,36.9166679382324,2.0,no_change,no_change,no,no,not_vaccinated,partially_vaccinated,completely_agree,excellent
53.0,bach_degree,male,white,85k_100k,working_paid_employee,no,not_married,3_to_6_times_a_week,every_day,0_times,0.916666686534882,1.0,no_change,no_change,no,yes,fully_vaccinated_and_booster,not_vaccinated,completely_agree,excellent
55.0,masters_degree,male,white,200k_250k,working_paid_employee,no,married,2_to_3_times_a_month,1_to_3_times_a_month,1_time,28.25,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
65.0,some_college,female,white,40k_50k,working_self_employed,no,not_married,once_a_month_or_less,never,2_times,30.5,2.0,better_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
30.0,bach_degree,female,white,150k_175k,not_working_looking,no,not_married,2_to_3_times_a_month,a_few_times_a_week,0_times,8.41666698455811,2.0,better_than_before,much_better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
30.0,bach_degree,female,2_plus_eth,50k_60k,working_self_employed,no,married,3_to_6_times_a_week,less_than_once_a_month,0_times,14.75,2.0,better_than_before,better,yes,yes,not_vaccinated,partially_vaccinated,completely_agree,excellent
25.0,masters_degree,female,white,50k_60k,not_working_other,no,not_married,once_or_twice_a_week,1_to_3_times_a_month,0_times,4.25,2.0,no_change,no_change,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
71.0,bach_degree,female,black,50k_60k,not_working_retired,no,not_married,2_to_3_times_a_month,never,0_times,1.75,1.0,better_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
71.0,associate_degree,female,white,85k_100k,not_working_retired,no,married,once_a_month_or_less,never,0_times,53.4166679382324,2.0,no_change,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
28.0,bach_degree,male,white,20k_25k,working_paid_employee,no,not_married,3_to_6_times_a_week,a_few_times_a_week,0_times,1.58333337306976,1.0,no_change,no_change,no,yes,not_vaccinated,fully_vaccinated_and_booster,mostly_agree,excellent
44.0,high_school_grad,female,white,85k_100k,working_paid_employee,no,married,once_a_month_or_less,never,4_times,8.33333301544189,3.0,worse_than_before,much_worse,no,no,fully_vaccinated_and_booster,partially_vaccinated,completely_agree,poor
79.0,bach_degree,male,white,125k_150k,not_working_retired,no,married,,never,0_times,32.4166679382324,2.0,no_change,,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
71.0,high_school_grad,male,white,40k_50k,not_working_retired,no,married,once_a_month_or_less,never,1_time,52.6666679382324,2.0,no_change,worse,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
28.0,bach_degree,female,white,150k_175k,working_paid_employee,no,not_married,3_to_6_times_a_week,a_few_times_a_week,1_time,3.08333325386047,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
31.0,bach_degree,female,white,100k_125k,not_working_other,no,married,3_to_6_times_a_week,a_few_times_a_week,0_times,6.83333349227905,4.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,completely_agree,excellent
56.0,associate_degree,male,white,200k_250k,working_paid_employee,no,married,once_a_month_or_less,less_than_once_a_month,1_time,17.3333339691162,5.0,no_change,worse,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
68.0,high_school_grad,female,white,20k_25k,not_working_retired,no,married,once_a_month_or_less,never,0_times,19.75,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,partially_vaccinated,completely_agree,good
83.0,some_college,female,white,20k_25k,not_working_retired,no,not_married,once_a_month_or_less,never,0_times,18.8333339691162,1.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
65.0,associate_degree,male,white,85k_100k,working_self_employed,no,married,once_a_month_or_less,never,1_time,39.9166679382324,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
24.0,high_school_grad,female,white,50k_60k,working_paid_employee,yes,not_married,3_to_6_times_a_week,once_a_week,4_times,2.91666674613953,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,fair
68.0,11th,male,white,30k_35k,not_working_retired,no,married,once_or_twice_a_week,never,0_times,49.75,2.0,no_change,worse,no,yes,not_vaccinated,partially_vaccinated,completely_agree,excellent
65.0,high_school_grad,female,white,85k_100k,not_working_retired,no,married,once_a_month_or_less,a_few_times_a_week,1_time,41.9166679382324,2.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
63.0,associate_degree,male,black,40k_50k,working_paid_employee,no,married,2_to_3_times_a_month,never,0_times,37.0833320617676,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,completely_agree,excellent
58.0,some_college,male,white,40k_50k,not_working_disabled,no,married,once_a_month_or_less,a_few_times_a_week,1_time,32.5,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,poor
62.0,prof_doct_degree,female,white,100k_125k,working_paid_employee,no,married,once_a_month_or_less,every_day,0_times,11.1666669845581,3.0,no_change,no_change,no,no,partially_vaccinated,fully_vaccinated_no_booster,completely_agree,excellent
58.0,masters_degree,male,white,150k_175k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,3_times,34.3333320617676,3.0,worse_than_before,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
53.0,bach_degree,male,white,175k_200k,working_paid_employee,no,married,once_a_month_or_less,less_than_once_a_month,0_times,31.8333339691162,2.0,better_than_before,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
65.0,high_school_grad,female,white,125k_150k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,0_times,21.25,2.0,no_change,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
52.0,masters_degree,male,white,over_250k,working_paid_employee,no,not_married,once_or_twice_a_week,never,0_times,7.58333349227905,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
76.0,high_school_grad,female,black,40k_50k,not_working_retired,no,married,2_to_3_times_a_month,never,0_times,56.5833320617676,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
46.0,some_college,male,white,125k_150k,working_paid_employee,no,married,once_or_twice_a_week,every_day,3_times,18.6666660308838,4.0,no_change,no_change,yes,yes,fully_vaccinated_no_booster,partially_vaccinated,completely_agree,good
53.0,bach_degree,male,white,175k_200k,working_paid_employee,no,married,2_to_3_times_a_month,never,1_time,31.0833339691162,4.0,no_change,better,yes,yes,not_vaccinated,partially_vaccinated,mostly_agree,excellent
76.0,masters_degree,female,white,175k_200k,not_working_retired,no,married,once_a_month_or_less,a_few_times_a_week,0_times,55.4166679382324,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
54.0,high_school_grad,female,black,40k_50k,working_self_employed,no,married,once_or_twice_a_week,never,0_times,,5.0,no_change,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
52.0,associate_degree,female,hispanic,100k_125k,working_paid_employee,no,married,once_a_month_or_less,never,0_times,30.3333339691162,5.0,no_change,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
63.0,high_school_grad,female,white,75k_85k,not_working_other,no,married,2_to_3_times_a_month,less_than_once_a_month,0_times,47.3333320617676,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
65.0,masters_degree,male,white,60k_75k,working_paid_employee,no,married,once_or_twice_a_week,never,0_times,3.66666674613953,1.0,better_than_before,no_change,no,,fully_vaccinated_and_booster,,completely_agree,excellent
43.0,masters_degree,female,black,200k_250k,working_paid_employee,no,married,3_to_6_times_a_week,1_to_3_times_a_month,1_time,9.08333301544189,2.0,better_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,mostly_agree,good
56.0,bach_degree,male,white,over_250k,not_working_other,no,married,2_to_3_times_a_month,never,0_times,15.0833330154419,4.0,no_change,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
59.0,some_college,female,white,40k_50k,not_working_retired,no,married,2_to_3_times_a_month,never,1_time,41.4166679382324,1.0,no_change,worse,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
32.0,bach_degree,female,black,85k_100k,working_paid_employee,no,not_married,once_or_twice_a_week,a_few_times_a_week,1_time,4.83333349227905,1.0,no_change,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,completely_agree,good
59.0,high_school_grad,male,white,60k_75k,working_paid_employee,no,married,once_or_twice_a_week,never,1_time,40.25,2.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,completely_agree,good
60.0,10th,male,white,175k_200k,working_paid_employee,no,not_married,once_a_month_or_less,a_few_times_a_week,0_times,9.58333301544189,2.0,no_change,no_change,no,yes,not_vaccinated,not_vaccinated,completely_agree,good
63.0,masters_degree,male,white,75k_85k,not_working_retired,yes,not_married,once_a_month_or_less,never,0_times,22.5,2.0,better_than_before,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
31.0,high_school_grad,female,white,20k_25k,not_working_other,no,not_married,2_to_3_times_a_month,a_few_times_a_week,3_times,14.25,5.0,no_change,worse,yes,yes,not_vaccinated,not_vaccinated,completely_agree,good
78.0,high_school_grad,female,2_plus_eth,85k_100k,not_working_retired,no,married,once_a_month_or_less,never,2_times,63.75,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
73.0,masters_degree,male,white,50k_60k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,0_times,54.0833320617676,2.0,no_change,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
57.0,bach_degree,female,white,85k_100k,working_paid_employee,no,married,2_to_3_times_a_month,never,1_time,34.1666679382324,3.0,no_change,no_change,yes,yes,fully_vaccinated_no_booster,fully_vaccinated_no_booster,completely_agree,excellent
55.0,masters_degree,male,hispanic,60k_75k,working_paid_employee,no,married,once_a_month_or_less,1_to_3_times_a_month,0_times,23.5833339691162,5.0,no_change,much_worse,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
58.0,prof_doct_degree,female,other,150k_175k,working_paid_employee,no,not_married,,less_than_once_a_month,0_times,20.0833339691162,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
59.0,prof_doct_degree,male,white,150k_175k,working_paid_employee,no,married,once_a_month_or_less,1_to_3_times_a_month,1_time,24.0833339691162,1.0,worse_than_before,no_change,no,no,fully_vaccinated_and_booster,partially_vaccinated,mostly_agree,fair
57.0,high_school_grad,female,white,150k_175k,working_paid_employee,no,married,2_to_3_times_a_month,once_a_week,1_time,37.75,6.0,no_change,no_change,yes,yes,,,completely_agree,good
39.0,high_school_grad,female,2_plus_eth,50k_60k,working_paid_employee,no,not_married,2_to_3_times_a_month,every_day,1_time,3.41666674613953,2.0,better_than_before,worse,no,yes,fully_vaccinated_no_booster,partially_vaccinated,completely_agree,good
44.0,some_college,female,white,150k_175k,not_working_other,no,married,once_a_month_or_less,never,0_times,20.8333339691162,8.0,no_change,better,yes,no,not_vaccinated,partially_vaccinated,completely_agree,fair
73.0,some_college,male,white,85k_100k,not_working_retired,no,not_married,2_to_3_times_a_month,1_to_3_times_a_month,2_times,4.75,1.0,worse_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,fair
79.0,some_college,female,white,175k_200k,not_working_retired,no,married,once_or_twice_a_week,never,1_time,45.6666679382324,2.0,worse_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
68.0,bach_degree,male,white,175k_200k,not_working_retired,no,married,once_or_twice_a_week,never,0_times,50.75,2.0,better_than_before,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
53.0,associate_degree,male,white,175k_200k,working_paid_employee,no,married,once_a_month_or_less,less_than_once_a_month,0_times,34.9166679382324,2.0,no_change,no_change,no,no,fully_vaccinated_no_booster,partially_vaccinated,completely_agree,excellent
64.0,bach_degree,female,white,100k_125k,working_paid_employee,no,not_married,2_to_3_times_a_month,never,0_times,13.1666669845581,2.0,no_change,much_better,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
55.0,some_college,female,white,85k_100k,working_paid_employee,no,not_married,2_to_3_times_a_month,never,1_time,8.58333301544189,5.0,no_change,no_change,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
69.0,high_school_grad,male,black,40k_50k,not_working_retired,no,married,,never,0_times,51.8333320617676,2.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_and_booster,mostly_agree,excellent
57.0,associate_degree,male,white,75k_85k,working_paid_employee,no,married,once_or_twice_a_week,never,0_times,31.1666660308838,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
69.0,bach_degree,male,hispanic,50k_60k,not_working_retired,no,married,once_a_month_or_less,never,0_times,46.1666679382324,3.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
60.0,high_school_grad,female,white,50k_60k,working_paid_employee,no,married,once_a_month_or_less,never,0_times,27.5833339691162,2.0,no_change,worse,yes,yes,not_vaccinated,partially_vaccinated,completely_agree,excellent
