id,wave,subject_age,subject_education,subject_gender,subject_ethnicity,subject_income_category,subject_employment_status,same_sex_couple,married,sex_frequency,flirts_with_partner,fights_with_partner,relationship_duration,children,rel_change_during_pandemic,inc_change_during_pandemic,subject_had_covid,partner_had_covid,subject_vaccinated,partner_vaccinated,agree_covid_approach,relationship_quality
428211,2022,66.0,some_college,female,other,150k_175k,working_paid_employee,no,married,once_a_month_or_less,less_than_once_a_month,1_time,33.5833320617676,2.0,better_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
497203,2022,63.0,associate_degree,male,white,85k_100k,working_paid_employee,no,married,once_a_month_or_less,less_than_once_a_month,1_time,31.5,2.0,no_change,worse,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,fair
516823,2022,85.0,some_college,female,white,60k_75k,not_working_retired,no,married,once_a_month_or_less,never,0_times,67.5833358764648,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
582849,2022,48.0,bach_degree,female,white,175k_200k,working_paid_employee,no,married,,never,1_time,29.0833339691162,2.0,better_than_before,no_change,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
585169,2022,75.0,some_college,female,white,35k_40k,not_working_retired,no,married,2_to_3_times_a_month,never,0_times,52.75,1.0,no_change,no_change,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
587125,2022,58.0,masters_degree,female,white,75k_85k,not_working_other,no,married,once_a_month_or_less,less_than_once_a_month,1_time,22.4166660308838,4.0,better_than_before,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
589881,2022,56.0,bach_degree,male,white,100k_125k,working_paid_employee,no,married,once_a_month_or_less,never,0_times,,2.0,no_change,no_change,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
606657,2022,51.0,prof_doct_degree,female,white,85k_100k,working_paid_employee,no,not_married,once_or_twice_a_week,never,2_times,0.583333313465118,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,fair
608697,2022,45.0,masters_degree,male,white,200k_250k,working_paid_employee,no,married,once_or_twice_a_week,less_than_once_a_month,1_time,22.75,5.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,mostly_agree,poor
616029,2022,41.0,some_college,female,white,100k_125k,working_paid_employee,no,married,3_to_6_times_a_week,every_day,1_time,15.5833330154419,3.0,better_than_before,no_change,yes,yes,not_vaccinated,partially_vaccinated,completely_agree,excellent
621641,2022,66.0,high_school_grad,female,white,35k_40k,not_working_retired,no,married,once_a_month_or_less,never,0_times,33.5,2.0,no_change,much_worse,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
623465,2022,51.0,bach_degree,female,white,100k_125k,working_paid_employee,no,married,once_or_twice_a_week,1_to_3_times_a_month,0_times,28.4166660308838,5.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
632159,2022,54.0,prof_doct_degree,male,white,over_250k,working_self_employed,no,married,once_a_month_or_less,never,0_times,27.4166660308838,2.0,no_change,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,very_poor
632253,2022,43.0,associate_degree,male,white,85k_100k,not_working_other,no,married,once_a_month_or_less,less_than_once_a_month,0_times,10.5833330154419,4.0,no_change,better,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
634833,2022,40.0,masters_degree,male,white,125k_150k,working_paid_employee,no,married,2_to_3_times_a_month,a_few_times_a_week,0_times,10.3333330154419,6.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,completely_agree,excellent
637531,2022,48.0,high_school_grad,female,white,150k_175k,working_paid_employee,no,married,once_a_month_or_less,a_few_times_a_week,1_time,24.25,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
643423,2022,72.0,associate_degree,female,white,85k_100k,not_working_retired,no,married,once_a_month_or_less,never,2_times,57.3333320617676,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
643505,2022,64.0,high_school_grad,female,hispanic,75k_85k,not_working_retired,no,married,,never,,44.1666679382324,2.0,better_than_before,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,mostly_agree,excellent
646023,2022,73.0,high_school_grad,female,white,200k_250k,not_working_retired,no,married,once_a_month_or_less,never,0_times,53.75,3.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
646157,2022,60.0,masters_degree,female,white,125k_150k,working_self_employed,no,married,3_to_6_times_a_week,1_to_3_times_a_month,0_times,11.0833330154419,3.0,no_change,better,no,no,not_vaccinated,partially_vaccinated,completely_agree,excellent
648619,2022,50.0,bach_degree,male,other,over_250k,working_paid_employee,no,not_married,once_or_more_a_day,never,0_times,50.25,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,not_vaccinated,completely_disagree,excellent
648669,2022,66.0,high_school_grad,female,white,75k_85k,not_working_other,no,married,once_a_month_or_less,never,4_times,41.25,3.0,worse_than_before,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,fair
650237,2022,70.0,high_school_grad,male,hispanic,60k_75k,not_working_retired,no,married,once_a_month_or_less,never,0_times,,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,mostly_agree,fair
651259,2022,43.0,bach_degree,female,white,50k_60k,working_paid_employee,no,married,once_a_month_or_less,never,1_time,18.0,2.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
651349,2022,65.0,prof_doct_degree,male,white,100k_125k,not_working_retired,no,married,2_to_3_times_a_month,never,1_time,39.4166679382324,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
653633,2022,71.0,bach_degree,male,white,85k_100k,not_working_retired,no,married,once_or_twice_a_week,never,0_times,50.0,2.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,mostly_agree,excellent
654589,2022,69.0,bach_degree,female,2_plus_eth,40k_50k,not_working_retired,no,married,once_a_month_or_less,never,2_times,44.6666679382324,2.0,no_change,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,fair
657869,2022,64.0,bach_degree,male,white,125k_150k,not_working_retired,no,married,once_or_twice_a_week,never,2_times,47.25,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
662355,2022,75.0,masters_degree,female,white,60k_75k,working_self_employed,no,married,once_a_month_or_less,never,3_times,42.8333320617676,3.0,worse_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
692169,2022,65.0,high_school_grad,female,white,125k_150k,not_working_retired,no,married,once_a_month_or_less,a_few_times_a_week,2_times,45.0,2.0,better_than_before,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
694725,2022,60.0,bach_degree,female,white,40k_50k,working_paid_employee,no,not_married,once_or_twice_a_week,never,0_times,0.333333343267441,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
694739,2022,62.0,high_school_grad,female,white,60k_75k,working_paid_employee,no,married,3_to_6_times_a_week,a_few_times_a_week,0_times,43.75,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
698117,2022,39.0,bach_degree,female,white,75k_85k,working_paid_employee,no,married,once_a_month_or_less,once_a_week,3_times,12.8333330154419,4.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
703017,2022,62.0,high_school_grad,female,white,100k_125k,not_working_disabled,no,married,once_a_month_or_less,never,1_time,34.9166679382324,3.0,no_change,no_change,no,no,not_vaccinated,fully_vaccinated_and_booster,mostly_agree,good
704661,2022,78.0,high_school_grad,female,white,85k_100k,not_working_retired,no,married,once_a_month_or_less,never,0_times,62.5,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
705457,2022,34.0,bach_degree,female,white,125k_150k,working_paid_employee,no,married,once_a_month_or_less,1_to_3_times_a_month,0_times,9.83333301544189,4.0,better_than_before,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
709075,2022,70.0,some_college,female,white,40k_50k,not_working_retired,no,married,once_a_month_or_less,never,0_times,41.4166679382324,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
709173,2022,69.0,masters_degree,male,hispanic,75k_85k,not_working_retired,no,married,once_a_month_or_less,never,2_times,43.5,2.0,better_than_before,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
716833,2022,64.0,7th_8th_grade,female,white,10k_12k,not_working_retired,no,not_married,2_to_3_times_a_month,less_than_once_a_month,1_time,1.33333337306976,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
724199,2022,41.0,12th_nodiploma,male,white,12k_15k,working_paid_employee,no,not_married,once_a_month_or_less,less_than_once_a_month,1_time,6.33333349227905,3.0,better_than_before,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
726183,2022,55.0,some_college,male,white,200k_250k,working_paid_employee,no,married,once_or_twice_a_week,less_than_once_a_month,3_times,32.5,5.0,no_change,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,fair
726431,2022,57.0,associate_degree,female,white,100k_125k,working_paid_employee,no,married,once_a_month_or_less,a_few_times_a_week,2_times,6.0,2.0,worse_than_before,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
727775,2022,45.0,bach_degree,female,white,over_250k,working_paid_employee,no,married,2_to_3_times_a_month,less_than_once_a_month,0_times,24.4166660308838,1.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,completely_agree,excellent
728327,2022,65.0,masters_degree,male,white,30k_35k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,0_times,42.75,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
729319,2022,65.0,bach_degree,male,other,125k_150k,not_working_retired,no,married,2_to_3_times_a_month,never,2_times,36.3333320617676,1.0,worse_than_before,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,poor
730391,2022,84.0,high_school_grad,male,white,60k_75k,not_working_retired,no,married,once_a_month_or_less,never,0_times,64.1666641235352,2.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
731249,2022,68.0,prof_doct_degree,male,white,175k_200k,working_paid_employee,no,married,once_a_month_or_less,never,0_times,27.0833339691162,2.0,no_change,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
731629,2022,56.0,high_school_grad,male,white,100k_125k,working_paid_employee,no,married,once_or_twice_a_week,a_few_times_a_week,0_times,38.75,3.0,no_change,no_change,yes,yes,fully_vaccinated_no_booster,partially_vaccinated,completely_agree,good
734689,2022,63.0,high_school_grad,male,white,20k_25k,not_working_retired,no,married,once_a_month_or_less,never,7_or_more_times,45.6666679382324,2.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,fair
755761,2022,58.0,some_college,female,other,85k_100k,not_working_other,no,married,2_to_3_times_a_month,never,0_times,36.9166679382324,2.0,no_change,no_change,no,no,not_vaccinated,partially_vaccinated,completely_agree,excellent
769127,2022,53.0,bach_degree,male,white,85k_100k,working_paid_employee,no,not_married,3_to_6_times_a_week,every_day,0_times,0.916666686534882,1.0,no_change,no_change,no,yes,fully_vaccinated_and_booster,not_vaccinated,completely_agree,excellent
769207,2022,55.0,masters_degree,male,white,200k_250k,working_paid_employee,no,married,2_to_3_times_a_month,1_to_3_times_a_month,1_time,28.25,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
771847,2022,65.0,some_college,female,white,40k_50k,working_self_employed,no,not_married,once_a_month_or_less,never,2_times,30.5,2.0,better_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
774843,2022,30.0,bach_degree,female,white,150k_175k,not_working_looking,no,not_married,2_to_3_times_a_month,a_few_times_a_week,0_times,8.41666698455811,2.0,better_than_before,much_better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
775045,2022,30.0,bach_degree,female,2_plus_eth,50k_60k,working_self_employed,no,married,3_to_6_times_a_week,less_than_once_a_month,0_times,14.75,2.0,better_than_before,better,yes,yes,not_vaccinated,partially_vaccinated,completely_agree,excellent
779707,2022,25.0,masters_degree,female,white,50k_60k,not_working_other,no,not_married,once_or_twice_a_week,1_to_3_times_a_month,0_times,4.25,2.0,no_change,no_change,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
782115,2022,71.0,bach_degree,female,black,50k_60k,not_working_retired,no,not_married,2_to_3_times_a_month,never,0_times,1.75,1.0,better_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
782789,2022,71.0,associate_degree,female,white,85k_100k,not_working_retired,no,married,once_a_month_or_less,never,0_times,53.4166679382324,2.0,no_change,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
783217,2022,28.0,bach_degree,male,white,20k_25k,working_paid_employee,no,not_married,3_to_6_times_a_week,a_few_times_a_week,0_times,1.58333337306976,1.0,no_change,no_change,no,yes,not_vaccinated,fully_vaccinated_and_booster,mostly_agree,excellent
783399,2022,44.0,high_school_grad,female,white,85k_100k,working_paid_employee,no,married,once_a_month_or_less,never,4_times,8.33333301544189,3.0,worse_than_before,much_worse,no,no,fully_vaccinated_and_booster,partially_vaccinated,completely_agree,poor
783679,2022,79.0,bach_degree,male,white,125k_150k,not_working_retired,no,married,,never,0_times,32.4166679382324,2.0,no_change,,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
784141,2022,71.0,high_school_grad,male,white,40k_50k,not_working_retired,no,married,once_a_month_or_less,never,1_time,52.6666679382324,2.0,no_change,worse,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
785331,2022,28.0,bach_degree,female,white,150k_175k,working_paid_employee,no,not_married,3_to_6_times_a_week,a_few_times_a_week,1_time,3.08333325386047,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
792153,2022,31.0,bach_degree,female,white,100k_125k,not_working_other,no,married,3_to_6_times_a_week,a_few_times_a_week,0_times,6.83333349227905,4.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,completely_agree,excellent
799683,2022,56.0,associate_degree,male,white,200k_250k,working_paid_employee,no,married,once_a_month_or_less,less_than_once_a_month,1_time,17.3333339691162,5.0,no_change,worse,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
806423,2022,68.0,high_school_grad,female,white,20k_25k,not_working_retired,no,married,once_a_month_or_less,never,0_times,19.75,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,partially_vaccinated,completely_agree,good
810569,2022,83.0,some_college,female,white,20k_25k,not_working_retired,no,not_married,once_a_month_or_less,never,0_times,18.8333339691162,1.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
811175,2022,65.0,associate_degree,male,white,85k_100k,working_self_employed,no,married,once_a_month_or_less,never,1_time,39.9166679382324,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
811853,2022,24.0,high_school_grad,female,white,50k_60k,working_paid_employee,yes,not_married,3_to_6_times_a_week,once_a_week,4_times,2.91666674613953,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,fair
812769,2022,68.0,11th,male,white,30k_35k,not_working_retired,no,married,once_or_twice_a_week,never,0_times,49.75,2.0,no_change,worse,no,yes,not_vaccinated,partially_vaccinated,completely_agree,excellent
813467,2022,65.0,high_school_grad,female,white,85k_100k,not_working_retired,no,married,once_a_month_or_less,a_few_times_a_week,1_time,41.9166679382324,2.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
814285,2022,63.0,associate_degree,male,black,40k_50k,working_paid_employee,no,married,2_to_3_times_a_month,never,0_times,37.0833320617676,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,completely_agree,excellent
815831,2022,58.0,some_college,male,white,40k_50k,not_working_disabled,no,married,once_a_month_or_less,a_few_times_a_week,1_time,32.5,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,poor
817367,2022,62.0,prof_doct_degree,female,white,100k_125k,working_paid_employee,no,married,once_a_month_or_less,every_day,0_times,11.1666669845581,3.0,no_change,no_change,no,no,partially_vaccinated,fully_vaccinated_no_booster,completely_agree,excellent
821909,2022,58.0,masters_degree,male,white,150k_175k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,3_times,34.3333320617676,3.0,worse_than_before,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
822315,2022,53.0,bach_degree,male,white,175k_200k,working_paid_employee,no,married,once_a_month_or_less,less_than_once_a_month,0_times,31.8333339691162,2.0,better_than_before,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
842437,2022,65.0,high_school_grad,female,white,125k_150k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,0_times,21.25,2.0,no_change,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
844189,2022,52.0,masters_degree,male,white,over_250k,working_paid_employee,no,not_married,once_or_twice_a_week,never,0_times,7.58333349227905,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
844865,2022,76.0,high_school_grad,female,black,40k_50k,not_working_retired,no,married,2_to_3_times_a_month,never,0_times,56.5833320617676,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
846827,2022,46.0,some_college,male,white,125k_150k,working_paid_employee,no,married,once_or_twice_a_week,every_day,3_times,18.6666660308838,4.0,no_change,no_change,yes,yes,fully_vaccinated_no_booster,partially_vaccinated,completely_agree,good
853221,2022,53.0,bach_degree,male,white,175k_200k,working_paid_employee,no,married,2_to_3_times_a_month,never,1_time,31.0833339691162,4.0,no_change,better,yes,yes,not_vaccinated,partially_vaccinated,mostly_agree,excellent
854869,2022,76.0,masters_degree,female,white,175k_200k,not_working_retired,no,married,once_a_month_or_less,a_few_times_a_week,0_times,55.4166679382324,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
855297,2022,54.0,high_school_grad,female,black,40k_50k,working_self_employed,no,married,once_or_twice_a_week,never,0_times,,5.0,no_change,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
859445,2022,52.0,associate_degree,female,hispanic,100k_125k,working_paid_employee,no,married,once_a_month_or_less,never,0_times,30.3333339691162,5.0,no_change,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
861113,2022,63.0,high_school_grad,female,white,75k_85k,not_working_other,no,married,2_to_3_times_a_month,less_than_once_a_month,0_times,47.3333320617676,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
862185,2022,65.0,masters_degree,male,white,60k_75k,working_paid_employee,no,married,once_or_twice_a_week,never,0_times,3.66666674613953,1.0,better_than_before,no_change,no,,fully_vaccinated_and_booster,,completely_agree,excellent
867449,2022,43.0,masters_degree,female,black,200k_250k,working_paid_employee,no,married,3_to_6_times_a_week,1_to_3_times_a_month,1_time,9.08333301544189,2.0,better_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,mostly_agree,good
867567,2022,56.0,bach_degree,male,white,over_250k,not_working_other,no,married,2_to_3_times_a_month,never,0_times,15.0833330154419,4.0,no_change,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
870777,2022,59.0,some_college,female,white,40k_50k,not_working_retired,no,married,2_to_3_times_a_month,never,1_time,41.4166679382324,1.0,no_change,worse,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
873917,2022,32.0,bach_degree,female,black,85k_100k,working_paid_employee,no,not_married,once_or_twice_a_week,a_few_times_a_week,1_time,4.83333349227905,1.0,no_change,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,completely_agree,good
874193,2022,59.0,high_school_grad,male,white,60k_75k,working_paid_employee,no,married,once_or_twice_a_week,never,1_time,40.25,2.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,completely_agree,good
876181,2022,60.0,10th,male,white,175k_200k,working_paid_employee,no,not_married,once_a_month_or_less,a_few_times_a_week,0_times,9.58333301544189,2.0,no_change,no_change,no,yes,not_vaccinated,not_vaccinated,completely_agree,good
882717,2022,63.0,masters_degree,male,white,75k_85k,not_working_retired,yes,not_married,once_a_month_or_less,never,0_times,22.5,2.0,better_than_before,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
892115,2022,31.0,high_school_grad,female,white,20k_25k,not_working_other,no,not_married,2_to_3_times_a_month,a_few_times_a_week,3_times,14.25,5.0,no_change,worse,yes,yes,not_vaccinated,not_vaccinated,completely_agree,good
894473,2022,78.0,high_school_grad,female,2_plus_eth,85k_100k,not_working_retired,no,married,once_a_month_or_less,never,2_times,63.75,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
900463,2022,73.0,masters_degree,male,white,50k_60k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,0_times,54.0833320617676,2.0,no_change,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
908663,2022,57.0,bach_degree,female,white,85k_100k,working_paid_employee,no,married,2_to_3_times_a_month,never,1_time,34.1666679382324,3.0,no_change,no_change,yes,yes,fully_vaccinated_no_booster,fully_vaccinated_no_booster,completely_agree,excellent
916551,2022,55.0,masters_degree,male,hispanic,60k_75k,working_paid_employee,no,married,once_a_month_or_less,1_to_3_times_a_month,0_times,23.5833339691162,5.0,no_change,much_worse,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
924575,2022,58.0,prof_doct_degree,female,other,150k_175k,working_paid_employee,no,not_married,,less_than_once_a_month,0_times,20.0833339691162,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
948417,2022,59.0,prof_doct_degree,male,white,150k_175k,working_paid_employee,no,married,once_a_month_or_less,1_to_3_times_a_month,1_time,24.0833339691162,1.0,worse_than_before,no_change,no,no,fully_vaccinated_and_booster,partially_vaccinated,mostly_agree,fair
957155,2022,57.0,high_school_grad,female,white,150k_175k,working_paid_employee,no,married,2_to_3_times_a_month,once_a_week,1_time,37.75,6.0,no_change,no_change,yes,yes,,,completely_agree,good
957901,2022,39.0,high_school_grad,female,2_plus_eth,50k_60k,working_paid_employee,no,not_married,2_to_3_times_a_month,every_day,1_time,3.41666674613953,2.0,better_than_before,worse,no,yes,fully_vaccinated_no_booster,partially_vaccinated,completely_agree,good
959621,2022,44.0,some_college,female,white,150k_175k,not_working_other,no,married,once_a_month_or_less,never,0_times,20.8333339691162,8.0,no_change,better,yes,no,not_vaccinated,partially_vaccinated,completely_agree,fair
962359,2022,73.0,some_college,male,white,85k_100k,not_working_retired,no,not_married,2_to_3_times_a_month,1_to_3_times_a_month,2_times,4.75,1.0,worse_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,fair
964713,2022,79.0,some_college,female,white,175k_200k,not_working_retired,no,married,once_or_twice_a_week,never,1_time,45.6666679382324,2.0,worse_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
981251,2022,68.0,bach_degree,male,white,175k_200k,not_working_retired,no,married,once_or_twice_a_week,never,0_times,50.75,2.0,better_than_before,better,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
