Entity,Code,Year,Right to change legal gender (historical)
Armenia,ARM,2021,"Legal, surgery required"
Armenia,ARM,2022,"Legal, surgery required"
Armenia,ARM,2023,"Legal, surgery required"
Armenia,ARM,2024,"Legal, surgery required"
Armenia,ARM,2025,"Legal, surgery required"
Australia,AUS,1988,Varies by region
Australia,AUS,1989,Varies by region
Australia,AUS,1990,Varies by region
Australia,AUS,1991,Varies by region
Australia,AUS,1992,Varies by region
Australia,AUS,1993,Varies by region
Australia,AUS,1994,Varies by region
Australia,AUS,1995,Varies by region
Australia,AUS,1996,Varies by region
Australia,AUS,1997,Varies by region
Australia,AUS,1998,Varies by region
Australia,AUS,1999,Varies by region
Australia,AUS,2000,Varies by region
Australia,AUS,2001,Varies by region
Australia,AUS,2002,Varies by region
Australia,AUS,2003,Varies by region
Australia,AUS,2004,Varies by region
Australia,AUS,2005,Varies by region
Australia,AUS,2006,Varies by region
Australia,AUS,2007,Varies by region
Australia,AUS,2008,Varies by region
Australia,AUS,2009,Varies by region
Australia,AUS,2010,Varies by region
Australia,AUS,2011,Varies by region
Australia,AUS,2012,Varies by region
Australia,AUS,2013,Varies by region
Australia,AUS,2014,Varies by region
Australia,AUS,2015,Varies by region
Australia,AUS,2016,Varies by region
Australia,AUS,2017,Varies by region
Australia,AUS,2018,Varies by region
Australia,AUS,2019,Varies by region
Australia,AUS,2020,Varies by region
Australia,AUS,2021,Varies by region
Australia,AUS,2022,Varies by region
Australia,AUS,2023,Varies by region
Australia,AUS,2024,Varies by region
Australia,AUS,2025,Varies by region
Austria,AUT,1983,"Legal, surgery required"
Austria,AUT,1984,"Legal, surgery required"
Austria,AUT,1985,"Legal, surgery required"
Austria,AUT,1986,"Legal, surgery required"
Austria,AUT,1987,"Legal, surgery required"
Austria,AUT,1988,"Legal, surgery required"
Austria,AUT,1989,"Legal, surgery required"
Austria,AUT,1990,"Legal, surgery required"
Austria,AUT,1991,"Legal, surgery required"
Austria,AUT,1992,"Legal, surgery required"
Austria,AUT,1993,"Legal, surgery required"
Austria,AUT,1994,"Legal, surgery required"
Austria,AUT,1995,"Legal, surgery required"
Austria,AUT,1996,"Legal, surgery required"
Austria,AUT,1997,"Legal, surgery required"
Austria,AUT,1998,"Legal, surgery required"
Austria,AUT,1999,"Legal, surgery required"
Austria,AUT,2000,"Legal, surgery required"
Austria,AUT,2001,"Legal, surgery required"
Austria,AUT,2002,"Legal, surgery required"
Austria,AUT,2003,"Legal, surgery required"
Austria,AUT,2004,"Legal, surgery required"
Austria,AUT,2005,"Legal, surgery required"
Austria,AUT,2006,"Legal, surgery required"
Austria,AUT,2007,"Legal, surgery required"
Austria,AUT,2008,"Legal, surgery required"
Austria,AUT,2009,"Legal, medical diagnosis required"
Austria,AUT,2010,"Legal, medical diagnosis required"
Austria,AUT,2011,"Legal, medical diagnosis required"
Austria,AUT,2012,"Legal, medical diagnosis required"
Austria,AUT,2013,"Legal, medical diagnosis required"
Austria,AUT,2014,"Legal, medical diagnosis required"
Austria,AUT,2015,"Legal, medical diagnosis required"
Austria,AUT,2016,"Legal, medical diagnosis required"
Austria,AUT,2017,"Legal, medical diagnosis required"
Austria,AUT,2018,"Legal, medical diagnosis required"
Austria,AUT,2019,"Legal, medical diagnosis required"
Austria,AUT,2020,"Legal, medical diagnosis required"
Austria,AUT,2021,"Legal, medical diagnosis required"
Austria,AUT,2022,"Legal, medical diagnosis required"
Austria,AUT,2023,"Legal, medical diagnosis required"
Austria,AUT,2024,"Legal, medical diagnosis required"
Austria,AUT,2025,"Legal, medical diagnosis required"
Azerbaijan,AZE,1972,"Legal, surgery required"
Azerbaijan,AZE,1973,"Legal, surgery required"
Azerbaijan,AZE,1974,"Legal, surgery required"
Azerbaijan,AZE,1975,"Legal, surgery required"
Azerbaijan,AZE,1976,"Legal, surgery required"
Azerbaijan,AZE,1977,"Legal, surgery required"
Azerbaijan,AZE,1978,"Legal, surgery required"
Azerbaijan,AZE,1979,"Legal, surgery required"
Azerbaijan,AZE,1980,"Legal, surgery required"
Azerbaijan,AZE,1981,"Legal, surgery required"
Azerbaijan,AZE,1982,"Legal, surgery required"
Azerbaijan,AZE,1983,"Legal, surgery required"
Azerbaijan,AZE,1984,"Legal, surgery required"
Azerbaijan,AZE,1985,"Legal, surgery required"
Azerbaijan,AZE,1986,"Legal, surgery required"
Azerbaijan,AZE,1987,"Legal, surgery required"
Azerbaijan,AZE,1988,"Legal, surgery required"
Azerbaijan,AZE,1989,"Legal, surgery required"
Azerbaijan,AZE,1990,"Legal, surgery required"
Azerbaijan,AZE,1991,Illegal
Azerbaijan,AZE,1992,Illegal
Azerbaijan,AZE,1993,Illegal
Azerbaijan,AZE,1994,Illegal
Azerbaijan,AZE,1995,Illegal
Azerbaijan,AZE,1996,Illegal
Azerbaijan,AZE,1997,Illegal
Azerbaijan,AZE,1998,Illegal
Azerbaijan,AZE,1999,Illegal
Azerbaijan,AZE,2000,Illegal
Azerbaijan,AZE,2001,Illegal
Azerbaijan,AZE,2002,Illegal
Azerbaijan,AZE,2003,Illegal
Azerbaijan,AZE,2004,Illegal
Azerbaijan,AZE,2005,Illegal
Azerbaijan,AZE,2006,Illegal
Azerbaijan,AZE,2007,Illegal
Azerbaijan,AZE,2008,Illegal
Azerbaijan,AZE,2009,Illegal
Azerbaijan,AZE,2010,Illegal
Azerbaijan,AZE,2011,Illegal
Azerbaijan,AZE,2012,Illegal
Azerbaijan,AZE,2013,Illegal
Azerbaijan,AZE,2014,Illegal
Azerbaijan,AZE,2015,Illegal
Azerbaijan,AZE,2016,Illegal
Azerbaijan,AZE,2017,Illegal
Azerbaijan,AZE,2018,Illegal
Azerbaijan,AZE,2019,Illegal
Azerbaijan,AZE,2020,Illegal
Azerbaijan,AZE,2021,Illegal
Azerbaijan,AZE,2022,Illegal
Azerbaijan,AZE,2023,Illegal
Azerbaijan,AZE,2024,Illegal
Azerbaijan,AZE,2025,Illegal
Bahamas,BHS,2025,Illegal
Bahrain,BHR,2014,Ambiguous
Bahrain,BHR,2015,Ambiguous
Bahrain,BHR,2016,Ambiguous
Bahrain,BHR,2017,Ambiguous
Bahrain,BHR,2018,Ambiguous
Bahrain,BHR,2019,Ambiguous
Bahrain,BHR,2020,Ambiguous
Bahrain,BHR,2021,Ambiguous
Bahrain,BHR,2022,Ambiguous
Bahrain,BHR,2023,Ambiguous
Bahrain,BHR,2024,Ambiguous
Bahrain,BHR,2025,Ambiguous
Bangladesh,BGD,2013,Ambiguous
Bangladesh,BGD,2014,Ambiguous
Bangladesh,BGD,2015,Ambiguous
Bangladesh,BGD,2016,Ambiguous
Bangladesh,BGD,2017,Ambiguous
Bangladesh,BGD,2018,Ambiguous
Bangladesh,BGD,2019,Ambiguous
Bangladesh,BGD,2020,Ambiguous
Bangladesh,BGD,2021,Ambiguous
Bangladesh,BGD,2022,Ambiguous
Bangladesh,BGD,2023,Ambiguous
Bangladesh,BGD,2024,Ambiguous
Bangladesh,BGD,2025,Ambiguous
Barbados,BRB,2025,Illegal
Belarus,BLR,1972,"Legal, surgery required"
Belarus,BLR,1973,"Legal, surgery required"
Belarus,BLR,1974,"Legal, surgery required"
Belarus,BLR,1975,"Legal, surgery required"
Belarus,BLR,1976,"Legal, surgery required"
Belarus,BLR,1977,"Legal, surgery required"
Belarus,BLR,1978,"Legal, surgery required"
Belarus,BLR,1979,"Legal, surgery required"
Belarus,BLR,1980,"Legal, surgery required"
Belarus,BLR,1981,"Legal, surgery required"
Belarus,BLR,1982,"Legal, surgery required"
Belarus,BLR,1983,"Legal, surgery required"
Belarus,BLR,1984,"Legal, surgery required"
Belarus,BLR,1985,"Legal, surgery required"
Belarus,BLR,1986,"Legal, surgery required"
Belarus,BLR,1987,"Legal, surgery required"
Belarus,BLR,1988,"Legal, surgery required"
Belarus,BLR,1989,"Legal, surgery required"
Belarus,BLR,1990,"Legal, surgery required"
Belarus,BLR,1991,"Legal, surgery required"
Belarus,BLR,1992,"Legal, surgery required"
Belarus,BLR,1993,"Legal, surgery required"
Belarus,BLR,1994,"Legal, surgery required"
Belarus,BLR,1995,"Legal, surgery required"
Belarus,BLR,1996,"Legal, surgery required"
Belarus,BLR,1997,"Legal, surgery required"
Belarus,BLR,1998,"Legal, surgery required"
Belarus,BLR,1999,"Legal, surgery required"
Belarus,BLR,2000,"Legal, surgery required"
Belarus,BLR,2001,"Legal, surgery required"
Belarus,BLR,2002,"Legal, surgery required"
Belarus,BLR,2003,"Legal, surgery required"
Belarus,BLR,2004,"Legal, surgery required"
Belarus,BLR,2005,"Legal, surgery required"
Belarus,BLR,2006,"Legal, surgery required"
Belarus,BLR,2007,"Legal, surgery required"
Belarus,BLR,2008,"Legal, surgery required"
Belarus,BLR,2009,"Legal, surgery required"
Belarus,BLR,2010,"Legal, medical diagnosis required"
Belarus,BLR,2011,"Legal, medical diagnosis required"
Belarus,BLR,2012,"Legal, medical diagnosis required"
Belarus,BLR,2013,"Legal, medical diagnosis required"
Belarus,BLR,2014,"Legal, medical diagnosis required"
Belarus,BLR,2015,"Legal, medical diagnosis required"
Belarus,BLR,2016,"Legal, medical diagnosis required"
Belarus,BLR,2017,"Legal, medical diagnosis required"
Belarus,BLR,2018,"Legal, medical diagnosis required"
Belarus,BLR,2019,"Legal, medical diagnosis required"
Belarus,BLR,2020,"Legal, medical diagnosis required"
Belarus,BLR,2021,"Legal, medical diagnosis required"
Belarus,BLR,2022,"Legal, medical diagnosis required"
Belarus,BLR,2023,"Legal, medical diagnosis required"
Belarus,BLR,2024,"Legal, medical diagnosis required"
Belarus,BLR,2025,"Legal, medical diagnosis required"
Belgium,BEL,2007,"Legal, surgery required"
Belgium,BEL,2008,"Legal, surgery required"
Belgium,BEL,2009,"Legal, surgery required"
Belgium,BEL,2010,"Legal, surgery required"
Belgium,BEL,2011,"Legal, surgery required"
Belgium,BEL,2012,"Legal, surgery required"
Belgium,BEL,2013,"Legal, surgery required"
Belgium,BEL,2014,"Legal, surgery required"
Belgium,BEL,2015,"Legal, surgery required"
Belgium,BEL,2016,"Legal, surgery required"
Belgium,BEL,2017,"Legal, surgery required"
Belgium,BEL,2018,"Legal, no restrictions"
Belgium,BEL,2019,"Legal, no restrictions"
Belgium,BEL,2020,"Legal, no restrictions"
Belgium,BEL,2021,"Legal, no restrictions"
Belgium,BEL,2022,"Legal, no restrictions"
Belgium,BEL,2023,"Legal, no restrictions"
Belgium,BEL,2024,"Legal, no restrictions"
Belgium,BEL,2025,"Legal, no restrictions"
Belize,BLZ,2025,Illegal
Benin,BEN,2025,Illegal
Bhutan,BTN,2019,"Legal, medical diagnosis required"
Bhutan,BTN,2020,"Legal, medical diagnosis required"
Bhutan,BTN,2021,"Legal, medical diagnosis required"
Bhutan,BTN,2022,"Legal, medical diagnosis required"
Bhutan,BTN,2023,"Legal, medical diagnosis required"
Bhutan,BTN,2024,"Legal, medical diagnosis required"
Bhutan,BTN,2025,"Legal, medical diagnosis required"
Bolivia,BOL,2003,"Legal, surgery required"
Bolivia,BOL,2004,"Legal, surgery required"
Bolivia,BOL,2005,"Legal, surgery required"
Bolivia,BOL,2006,"Legal, surgery required"
Bolivia,BOL,2007,"Legal, surgery required"
Bolivia,BOL,2008,"Legal, surgery required"
Bolivia,BOL,2009,"Legal, surgery required"
Bolivia,BOL,2010,"Legal, surgery required"
Bolivia,BOL,2011,"Legal, surgery required"
Bolivia,BOL,2012,"Legal, surgery required"
Bolivia,BOL,2013,"Legal, surgery required"
Bolivia,BOL,2014,"Legal, surgery required"
Bolivia,BOL,2015,"Legal, surgery required"
Bolivia,BOL,2016,"Legal, no restrictions"
Bolivia,BOL,2017,"Legal, no restrictions"
Bolivia,BOL,2018,"Legal, no restrictions"
Bolivia,BOL,2019,"Legal, no restrictions"
Bolivia,BOL,2020,"Legal, no restrictions"
Bolivia,BOL,2021,"Legal, no restrictions"
Bolivia,BOL,2022,"Legal, no restrictions"
Bolivia,BOL,2023,"Legal, no restrictions"
Bolivia,BOL,2024,"Legal, no restrictions"
Bolivia,BOL,2025,"Legal, no restrictions"
Bosnia and Herzegovina,BIH,2012,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2013,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2014,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2015,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2016,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2017,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2018,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2019,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2020,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2021,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2022,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2023,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2024,"Legal, surgery required"
Bosnia and Herzegovina,BIH,2025,"Legal, surgery required"
Botswana,BWA,2017,"Legal, no restrictions"
Botswana,BWA,2018,"Legal, no restrictions"
Botswana,BWA,2019,"Legal, no restrictions"
Botswana,BWA,2020,"Legal, no restrictions"
Botswana,BWA,2021,"Legal, no restrictions"
Botswana,BWA,2022,"Legal, no restrictions"
Botswana,BWA,2023,"Legal, no restrictions"
Botswana,BWA,2024,"Legal, no restrictions"
Botswana,BWA,2025,"Legal, no restrictions"
Brazil,BRA,2003,"Legal, surgery required"
Brazil,BRA,2004,"Legal, surgery required"
Brazil,BRA,2005,"Legal, surgery required"
Brazil,BRA,2006,"Legal, surgery required"
Brazil,BRA,2007,"Legal, surgery required"
Brazil,BRA,2008,"Legal, surgery required"
Brazil,BRA,2009,"Legal, surgery required"
Brazil,BRA,2010,"Legal, surgery required"
Brazil,BRA,2011,"Legal, surgery required"
Brazil,BRA,2012,"Legal, surgery required"
Brazil,BRA,2013,"Legal, surgery required"
Brazil,BRA,2014,"Legal, surgery required"
Brazil,BRA,2015,"Legal, surgery required"
Brazil,BRA,2016,"Legal, surgery required"
Brazil,BRA,2017,"Legal, surgery required"
Brazil,BRA,2018,"Legal, no restrictions"
Brazil,BRA,2019,"Legal, no restrictions"
Brazil,BRA,2020,"Legal, no restrictions"
Brazil,BRA,2021,"Legal, no restrictions"
Brazil,BRA,2022,"Legal, no restrictions"
Brazil,BRA,2023,"Legal, no restrictions"
Brazil,BRA,2024,"Legal, no restrictions"
Brazil,BRA,2025,"Legal, no restrictions"
Brunei,BRN,2025,Illegal
Bulgaria,BGR,2023,Illegal
Bulgaria,BGR,2024,Illegal
Bulgaria,BGR,2025,Illegal
Burkina Faso,BFA,2025,Illegal
Burundi,BDI,2025,Illegal
Cambodia,KHM,2025,Illegal
Cameroon,CMR,2025,Illegal
Canada,CAN,2017,"Legal, no restrictions"
Canada,CAN,2018,"Legal, no restrictions"
Canada,CAN,2019,"Legal, no restrictions"
Canada,CAN,2020,"Legal, no restrictions"
Canada,CAN,2021,"Legal, no restrictions"
Canada,CAN,2022,"Legal, no restrictions"
Canada,CAN,2023,"Legal, no restrictions"
Canada,CAN,2024,"Legal, no restrictions"
Canada,CAN,2025,"Legal, no restrictions"
Cape Verde,CPV,2025,Illegal
Central African Republic,CAF,2025,Illegal
Chad,TCD,2025,Illegal
Chile,CHL,1974,"Legal, surgery required"
Chile,CHL,1975,"Legal, surgery required"
Chile,CHL,1976,"Legal, surgery required"
Chile,CHL,1977,"Legal, surgery required"
Chile,CHL,1978,"Legal, surgery required"
Chile,CHL,1979,"Legal, surgery required"
Chile,CHL,1980,"Legal, surgery required"
Chile,CHL,1981,"Legal, surgery required"
Chile,CHL,1982,"Legal, surgery required"
Chile,CHL,1983,"Legal, surgery required"
Chile,CHL,1984,"Legal, surgery required"
Chile,CHL,1985,"Legal, surgery required"
Chile,CHL,1986,"Legal, surgery required"
Chile,CHL,1987,"Legal, surgery required"
Chile,CHL,1988,"Legal, surgery required"
Chile,CHL,1989,"Legal, surgery required"
Chile,CHL,1990,"Legal, surgery required"
Chile,CHL,1991,"Legal, surgery required"
Chile,CHL,1992,"Legal, surgery required"
Chile,CHL,1993,"Legal, surgery required"
Chile,CHL,1994,"Legal, surgery required"
Chile,CHL,1995,"Legal, surgery required"
Chile,CHL,1996,"Legal, surgery required"
Chile,CHL,1997,"Legal, surgery required"
Chile,CHL,1998,"Legal, surgery required"
Chile,CHL,1999,"Legal, surgery required"
Chile,CHL,2000,"Legal, surgery required"
Chile,CHL,2001,"Legal, surgery required"
Chile,CHL,2002,"Legal, surgery required"
Chile,CHL,2003,"Legal, surgery required"
Chile,CHL,2004,"Legal, surgery required"
Chile,CHL,2005,"Legal, surgery required"
Chile,CHL,2006,"Legal, surgery required"
Chile,CHL,2007,"Legal, surgery required"
Chile,CHL,2008,"Legal, surgery required"
Chile,CHL,2009,"Legal, surgery required"
Chile,CHL,2010,"Legal, surgery required"
Chile,CHL,2011,"Legal, surgery required"
Chile,CHL,2012,"Legal, surgery required"
Chile,CHL,2013,"Legal, surgery required"
Chile,CHL,2014,"Legal, surgery required"
Chile,CHL,2015,"Legal, surgery required"
Chile,CHL,2016,"Legal, surgery required"
Chile,CHL,2017,"Legal, surgery required"
Chile,CHL,2018,"Legal, surgery required"
Chile,CHL,2019,"Legal, no restrictions"
Chile,CHL,2020,"Legal, no restrictions"
Chile,CHL,2021,"Legal, no restrictions"
Chile,CHL,2022,"Legal, no restrictions"
Chile,CHL,2023,"Legal, no restrictions"
Chile,CHL,2024,"Legal, no restrictions"
Chile,CHL,2025,"Legal, no restrictions"
China,CHN,1986,"Legal, surgery required"
China,CHN,1987,"Legal, surgery required"
China,CHN,1988,"Legal, surgery required"
China,CHN,1989,"Legal, surgery required"
China,CHN,1990,"Legal, surgery required"
China,CHN,1991,"Legal, surgery required"
China,CHN,1992,"Legal, surgery required"
China,CHN,1993,"Legal, surgery required"
China,CHN,1994,"Legal, surgery required"
China,CHN,1995,"Legal, surgery required"
China,CHN,1996,"Legal, surgery required"
China,CHN,1997,"Legal, surgery required"
China,CHN,1998,"Legal, surgery required"
China,CHN,1999,"Legal, surgery required"
China,CHN,2000,"Legal, surgery required"
China,CHN,2001,"Legal, surgery required"
China,CHN,2002,"Legal, surgery required"
China,CHN,2003,"Legal, surgery required"
China,CHN,2004,"Legal, surgery required"
China,CHN,2005,"Legal, surgery required"
China,CHN,2006,"Legal, surgery required"
China,CHN,2007,"Legal, surgery required"
China,CHN,2008,"Legal, surgery required"
China,CHN,2009,"Legal, surgery required"
China,CHN,2010,"Legal, surgery required"
China,CHN,2011,"Legal, surgery required"
China,CHN,2012,"Legal, surgery required"
China,CHN,2013,"Legal, surgery required"
China,CHN,2014,"Legal, surgery required"
China,CHN,2015,"Legal, surgery required"
China,CHN,2016,"Legal, surgery required"
China,CHN,2017,"Legal, surgery required"
China,CHN,2018,"Legal, surgery required"
China,CHN,2019,"Legal, surgery required"
China,CHN,2020,"Legal, surgery required"
China,CHN,2021,"Legal, surgery required"
China,CHN,2022,"Legal, surgery required"
China,CHN,2023,"Legal, surgery required"
China,CHN,2024,"Legal, surgery required"
China,CHN,2025,"Legal, surgery required"
Colombia,COL,2013,"Legal, surgery required"
Colombia,COL,2014,"Legal, surgery required"
Colombia,COL,2015,"Legal, no restrictions"
Colombia,COL,2016,"Legal, no restrictions"
Colombia,COL,2017,"Legal, no restrictions"
Colombia,COL,2018,"Legal, no restrictions"
Colombia,COL,2019,"Legal, no restrictions"
Colombia,COL,2020,"Legal, no restrictions"
Colombia,COL,2021,"Legal, no restrictions"
Colombia,COL,2022,"Legal, no restrictions"
Colombia,COL,2023,"Legal, no restrictions"
Colombia,COL,2024,"Legal, no restrictions"
Colombia,COL,2025,"Legal, no restrictions"
Comoros,COM,2025,Illegal
Congo,COG,2025,Illegal
Costa Rica,CRI,2018,"Legal, no restrictions"
Costa Rica,CRI,2019,"Legal, no restrictions"
Costa Rica,CRI,2020,"Legal, no restrictions"
Costa Rica,CRI,2021,"Legal, no restrictions"
Costa Rica,CRI,2022,"Legal, no restrictions"
Costa Rica,CRI,2023,"Legal, no restrictions"
Costa Rica,CRI,2024,"Legal, no restrictions"
Costa Rica,CRI,2025,"Legal, no restrictions"
Cote d'Ivoire,CIV,2018,Ambiguous
Cote d'Ivoire,CIV,2019,Ambiguous
Cote d'Ivoire,CIV,2020,Ambiguous
Cote d'Ivoire,CIV,2021,Ambiguous
Cote d'Ivoire,CIV,2022,Ambiguous
Cote d'Ivoire,CIV,2023,Ambiguous
Cote d'Ivoire,CIV,2024,Ambiguous
Cote d'Ivoire,CIV,2025,Ambiguous
Croatia,HRV,1994,"Legal, surgery required"
Croatia,HRV,1995,"Legal, surgery required"
Croatia,HRV,1996,"Legal, surgery required"
Croatia,HRV,1997,"Legal, surgery required"
Croatia,HRV,1998,"Legal, surgery required"
Croatia,HRV,1999,"Legal, surgery required"
Croatia,HRV,2000,"Legal, surgery required"
Croatia,HRV,2001,"Legal, surgery required"
Croatia,HRV,2002,"Legal, surgery required"
Croatia,HRV,2003,"Legal, surgery required"
Croatia,HRV,2004,"Legal, surgery required"
Croatia,HRV,2005,"Legal, surgery required"
Croatia,HRV,2006,"Legal, surgery required"
Croatia,HRV,2007,"Legal, surgery required"
Croatia,HRV,2008,"Legal, surgery required"
Croatia,HRV,2009,"Legal, surgery required"
Croatia,HRV,2010,"Legal, surgery required"
Croatia,HRV,2011,"Legal, surgery required"
Croatia,HRV,2012,"Legal, surgery required"
Croatia,HRV,2013,"Legal, surgery required"
Croatia,HRV,2014,"Legal, medical diagnosis required"
Croatia,HRV,2015,"Legal, medical diagnosis required"
Croatia,HRV,2016,"Legal, medical diagnosis required"
Croatia,HRV,2017,"Legal, medical diagnosis required"
Croatia,HRV,2018,"Legal, medical diagnosis required"
Croatia,HRV,2019,"Legal, medical diagnosis required"
Croatia,HRV,2020,"Legal, medical diagnosis required"
Croatia,HRV,2021,"Legal, medical diagnosis required"
Croatia,HRV,2022,"Legal, medical diagnosis required"
Croatia,HRV,2023,"Legal, medical diagnosis required"
Croatia,HRV,2024,"Legal, medical diagnosis required"
Croatia,HRV,2025,"Legal, medical diagnosis required"
Cuba,CUB,2008,"Legal, surgery required"
Cuba,CUB,2009,"Legal, surgery required"
Cuba,CUB,2010,"Legal, surgery required"
Cuba,CUB,2011,"Legal, surgery required"
Cuba,CUB,2012,"Legal, surgery required"
Cuba,CUB,2013,"Legal, surgery required"
Cuba,CUB,2014,"Legal, surgery required"
Cuba,CUB,2015,"Legal, surgery required"
Cuba,CUB,2016,"Legal, surgery required"
Cuba,CUB,2017,"Legal, surgery required"
Cuba,CUB,2018,"Legal, surgery required"
Cuba,CUB,2019,"Legal, surgery required"
Cuba,CUB,2020,"Legal, surgery required"
Cuba,CUB,2021,"Legal, surgery required"
Cuba,CUB,2022,"Legal, surgery required"
Cuba,CUB,2023,"Legal, surgery required"
Cuba,CUB,2024,"Legal, surgery required"
Cuba,CUB,2025,"Legal, surgery required"
Cyprus,CYP,2022,"Legal, no restrictions"
Cyprus,CYP,2023,"Legal, no restrictions"
Cyprus,CYP,2024,"Legal, no restrictions"
Cyprus,CYP,2025,"Legal, no restrictions"
Czechia,CZE,1975,"Legal, surgery required"
Czechia,CZE,1976,"Legal, surgery required"
Czechia,CZE,1977,"Legal, surgery required"
Czechia,CZE,1978,"Legal, surgery required"
Czechia,CZE,1979,"Legal, surgery required"
Czechia,CZE,1980,"Legal, surgery required"
Czechia,CZE,1981,"Legal, surgery required"
Czechia,CZE,1982,"Legal, surgery required"
Czechia,CZE,1983,"Legal, surgery required"
Czechia,CZE,1984,"Legal, surgery required"
Czechia,CZE,1985,"Legal, surgery required"
Czechia,CZE,1986,"Legal, surgery required"
Czechia,CZE,1987,"Legal, surgery required"
Czechia,CZE,1988,"Legal, surgery required"
Czechia,CZE,1989,"Legal, surgery required"
Czechia,CZE,1990,"Legal, surgery required"
Czechia,CZE,1991,"Legal, surgery required"
Czechia,CZE,1992,"Legal, surgery required"
Czechia,CZE,1993,"Legal, surgery required"
Czechia,CZE,1994,"Legal, surgery required"
Czechia,CZE,1995,"Legal, surgery required"
Czechia,CZE,1996,"Legal, surgery required"
Czechia,CZE,1997,"Legal, surgery required"
Czechia,CZE,1998,"Legal, surgery required"
Czechia,CZE,1999,"Legal, surgery required"
